date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:25:18	67/67	---M--	200	added ('OK')	text/plain	etag:%227172fc949ad9060a8d15b75fcf9975ee-ssl%22	https://dogepulse.netlify.app/robots.txt		(from )
16:25:18	3099/3099	---M-Z	200	added ('OK')	text/html	etag:%22842f0780ed1ecc4e470a31bbb224e989-ssl-df%22	https://dogepulse.netlify.app/	/Users/oneilbenjamin/websites/dogeeee/index-2.html	(from )
16:25:19	56/56	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2025%20Jun%202023%2021:25:19%20GMT	http://dogepulse.netlify.app/favicon.ico	/Users/oneilbenjamin/websites/dogeeee/favicon.0.delayed	(from https://dogepulse.netlify.app/)
16:25:20	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1684196307-ssl-df	https://dogepulse.netlify.app/favicon.ico	/Users/oneilbenjamin/websites/dogeeee/favicon.1.delayed	(from https://dogepulse.netlify.app/)
16:25:21	61/61	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2025%20Jun%202023%2021:25:21%20GMT	http://dogepulse.netlify.app/config/theme.css	/Users/oneilbenjamin/websites/dogeeee/config/theme.2.delayed	(from https://dogepulse.netlify.app/)
16:25:22	159/159	---M--	200	added ('OK')	text/css	etag:%225b322d3f1ede7986c89219629c534b1b-ssl%22	https://dogepulse.netlify.app/config/theme.css	/Users/oneilbenjamin/websites/dogeeee/config/theme.css	(from https://dogepulse.netlify.app/)
16:25:23	56/56	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2025%20Jun%202023%2021:25:23%20GMT	http://dogepulse.netlify.app/logo192.png	/Users/oneilbenjamin/websites/dogeeee/logo192.4.delayed	(from https://dogepulse.netlify.app/)
16:25:24	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1684196307-ssl-df	https://dogepulse.netlify.app/logo192.png	/Users/oneilbenjamin/websites/dogeeee/logo192.5.delayed	(from https://dogepulse.netlify.app/)
16:25:25	58/58	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2025%20Jun%202023%2021:25:25%20GMT	http://dogepulse.netlify.app/manifest.json	/Users/oneilbenjamin/websites/dogeeee/manifest.6.delayed	(from https://dogepulse.netlify.app/)
16:25:26	478/478	---M--	200	added ('OK')	application/json	etag:%2276e4963c5cdc1a75a1ecc0c950e28194-ssl%22	https://dogepulse.netlify.app/manifest.json	/Users/oneilbenjamin/websites/dogeeee/manifest.json	(from https://dogepulse.netlify.app/)
16:25:27	79/79	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2025%20Jun%202023%2021:25:27%20GMT	http://dogepulse.netlify.app/static/css/main.e7715f2d.chunk.css	/Users/oneilbenjamin/websites/dogeeee/static/css/main.e7715f2d.chunk.8.delayed	(from https://dogepulse.netlify.app/)
16:25:28	1427/1427	---M-Z	200	added ('OK')	text/css	etag:%22fc2ae9daa6e074b83e30c0296ca1b6d0-ssl-df%22	https://dogepulse.netlify.app/static/css/main.e7715f2d.chunk.css	/Users/oneilbenjamin/websites/dogeeee/static/css/main.e7715f2d.chunk.css	(from https://dogepulse.netlify.app/)
16:25:29	74/74	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2025%20Jun%202023%2021:25:29%20GMT	http://dogepulse.netlify.app/static/js/2.9047b419.chunk.js	/Users/oneilbenjamin/websites/dogeeee/static/js/2.9047b419.chunk.a.delayed	(from https://dogepulse.netlify.app/)
16:25:31	77/77	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2025%20Jun%202023%2021:25:31%20GMT	http://dogepulse.netlify.app/static/js/main.18b2b2ae.chunk.js	/Users/oneilbenjamin/websites/dogeeee/static/js/main.18b2b2ae.chunk.c.delayed	(from https://dogepulse.netlify.app/)
16:25:31	1960998/1960998	---MCZ	200	added ('OK')	application/javascript	etag:%222bd919cc94870b85f29f9bbb31c31e05-ssl-df%22	https://dogepulse.netlify.app/static/js/2.9047b419.chunk.js	/Users/oneilbenjamin/websites/dogeeee/static/js/2.9047b419.chunk.js	(from https://dogepulse.netlify.app/)
16:25:33	13838/13838	---MCZ	200	added ('OK')	application/javascript	etag:%224e55dae83563f9e1a915f0aecfa2b89b-ssl-df%22	https://dogepulse.netlify.app/static/js/main.18b2b2ae.chunk.js	/Users/oneilbenjamin/websites/dogeeee/static/js/main.18b2b2ae.chunk.js	(from https://dogepulse.netlify.app/)
16:25:33	0/0	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Sun,%2025%20Jun%202023%2021:25:33%20GMT	https://dogepulse.netlify.app/static/js/2.9047b419.chunk.js	/Users/oneilbenjamin/websites/dogeeee/static/js/2.9047b419.chunk.js	(from https://dogepulse.netlify.app/)
16:25:34	265456/265456	---MCZ	200	added ('OK')	application/font-woff	etag:%224232bd7e2291c1d0f5daddd1d85a1c0a-ssl-df%22	https://dogepulse.netlify.app/static/media/font.617a0a92.woff	/Users/oneilbenjamin/websites/dogeeee/static/media/font.617a0a92.woff	(from https://dogepulse.netlify.app/static/css/main.e7715f2d.chunk.css)
